Kode HS,Deskripsi HS,Negara Tujuan Ekspor,Periode,Berat (Kg),Nilai (USD)
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Jepang,201901,1,1
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Jepang,201902,1630460,1188698
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Jepang,201907,95150,92068.86
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Jepang,201912,1617121,1179445.99
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Jepang,202007,1578178,1151000.32
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Korea Selatan,202003,37100,44515.25
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Malaysia,201912,32000,38900
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201901,2342377.2,2238997.12
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201902,2077274,1976798.93
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201903,3716281.2,3532480.52
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201904,2725514.8,2591474.06
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201905,2421700.4,2304247.83
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201906,1960276.4,1854327.2
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201907,2075891.6,1939715.92
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201908,5847467.8,4614237.28
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201909,6579585,5192418.9
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201910,7927149.6,6460484.61
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201911,7035233.6,5667771.42
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,201912,5792309,4508094.81
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,202001,4559019,4273121.5
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,202002,2941110,2754643.67
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,202003,3952173,3696450.65
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,202006,304160,285592.69
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Philipina,202007,2870510,2784238.48
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Singapura,201906,37600,38070
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Singapura,201911,32000,39400
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,SOLOMON ISLANDS,201911,12800,14240
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,SOLOMON ISLANDS,202002,12800,14240
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,SOLOMON ISLANDS,202003,25600,28480
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Taiwan,201906,32,30
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201901,38020,43237.22
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201903,57030,64857.33
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201904,57030,64857.33
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201910,12800,15040
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201911,38020,39163.88
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,201912,19010,19581.94
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,202001,19010,19481.94
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,202002,44610,48371.86
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Thailand,202007,19010,25844.43
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201901,57030,67781.79
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201902,57030,67781.79
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201903,19010,22593.93
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201904,38020,45187.86
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201905,19010,19458.98
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201906,19010,19458.98
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201907,57030,58379.94
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201908,38020,38920.96
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201909,76040,77841.92
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201910,114060,116762.88
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201911,76040,77841.92
22071000,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,Viet Nam,201912,38020,38920.96
