Year,Commodity Code,Commodity,Netweight (kg),Trade Value (US$),USD/ton
2017,2604,Nickel ores and concentrates,4882728000,155189438,31.78334693
2018,2604,Nickel ores and concentrates,19764458000,628026534,31.77555054
2019,2604,Nickel ores and concentrates,32380173000,1097012524,33.87914339
2020,2604,Nickel ores and concentrates,1404,116,82.62108262
2017,720260,Ferro-alloys; ferro-nickel,1016730365,1331566607,1309.655591
2018,720260,Ferro-alloys; ferro-nickel,857500013,1360996319,1587.167695
2019,720260,Ferro-alloys; ferro-nickel,1593696030,2595556910,1628.639879
2020,720260,Ferro-alloys; ferro-nickel,2874022704,4739112331,1648.947423
2017,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,302923489,425408840,1404.344184
2018,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,532610103,821559195,1542.515229
2019,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,266602846,411337301,1542.884133
2020,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1087854208,1630911693,1499.200611
2017,7219,Stainless steel; flat-rolled products of width of 600mm or more,374753763,575051076,1534.477123
2018,7219,Stainless steel; flat-rolled products of width of 600mm or more,1385083105,2297758682,1658.931997
2019,7219,Stainless steel; flat-rolled products of width of 600mm or more,1974443089,3259392737,1650.790927
2020,7219,Stainless steel; flat-rolled products of width of 600mm or more,1801937373,2993037641,1661.010913
2012,2604,Nickel ores and concentrates,48449392135,1489084347,30.73484065
2013,2604,Nickel ores and concentrates,64802857120,1685247617,26.00576104
2014,2604,Nickel ores and concentrates,4160120660,85913010,20.65156687
2015,2604,Nickel ores and concentrates,0,0,0
2016,2604,Nickel ores and concentrates,0,0,0
2012,720260,Ferro-alloys; ferro-nickel,77121342,336764138,4366.678915
2013,720260,Ferro-alloys; ferro-nickel,68180828,232038214,3403.276563
2014,720260,Ferro-alloys; ferro-nickel,83749431,292133409,3488.183806
2015,720260,Ferro-alloys; ferro-nickel,181699869,330332112,1818.009632
2016,720260,Ferro-alloys; ferro-nickel,411438077,571298623,1388.540961
2012,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1394653,1903032,1364.520063
2013,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1551392,2178001,1403.901142
