Year,Reporter,Reporter ISO,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
2017,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,133580125,367160572
2018,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,111327315,367100933
2019,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,103942940,330905888
2020,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,49939577,179001341
2016,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,284826641
2012,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,256789105,791835779
2013,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,197459395,611976402
2014,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,180759049,609262080
2015,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,125634618,364214409
2011,EU-28,EU2,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,215706540,821729066
2015,Angola,AGO,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2362,6156
2012,Azerbaijan,AZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,480000,314400
2013,Azerbaijan,AZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,888000,602160
2014,Azerbaijan,AZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,772000,506720
2015,Azerbaijan,AZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1278500,507363
2011,Azerbaijan,AZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,960000,672000
2012,Argentina,ARG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2305480,3673280
2013,Argentina,ARG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1545900,1708850
2014,Argentina,ARG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,434912,451994
2015,Argentina,ARG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,25202,30242
2011,Argentina,ARG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,5431530,9075166
2012,Australia,AUS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,300262,2169435
2013,Australia,AUS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,418327,4512134
2014,Australia,AUS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,596628,6226234
2015,Australia,AUS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,514262,5703768
2011,Australia,AUS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,893510,2896759
2012,Austria,AUT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,23097116,112265110
2013,Austria,AUT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,16330085,76262512
2014,Austria,AUT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,19180157,89652692
2015,Austria,AUT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,16475422,63297428
2011,Austria,AUT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,20889839,104542462
2013,Bahamas,BHS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1625,18000
2015,Bahamas,BHS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,0,182
2013,Bahrain,BHR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,24403,240439
2014,Bahrain,BHR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,6500,139275
2015,Bahrain,BHR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,29680,247023
2011,Bahrain,BHR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,400,109
2012,Bahrain,BHR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,161806,614395
2012,Belgium,BEL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,26062650,65392713
2013,Belgium,BEL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,18692072,55747668
2014,Belgium,BEL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,6866186,21107180
2015,Belgium,BEL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,15487641,39614707
2011,Belgium,BEL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,31973233,93490105
2011,Bhutan,BTN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,15060,8266
2012,Bosnia Herzegovina,BIH,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,20,18
2013,Bosnia Herzegovina,BIH,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,206,1668
2011,Bosnia Herzegovina,BIH,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,34,45
2014,Botswana,BWA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,37,1250
2015,Botswana,BWA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2075,3335
2011,Botswana,BWA,7218,Stainless steel in ingots or other primary forms,48,9722
2013,Botswana,BWA,7218,Stainless steel in ingots or other primary forms,492,24605
2012,Brazil,BRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,54602,402768
2013,Brazil,BRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,27185,348688
2014,Brazil,BRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,40010,221934
2015,Brazil,BRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,8014,77672
2011,Brazil,BRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,673813,3189261
2014,Solomon Isds,SLB,7218,Stainless steel in ingots or other primary forms,0,202
2013,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1952500,1339247
2014,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2716000,1228822
2015,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3552000,1111330
2011,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,100,238
2012,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,111851,669256
2012,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,236513,976825
2013,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,32460,232599
2014,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,41273,188597
2015,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,50580,256033
2014,Myanmar,MMR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,8049,15875
2013,Belarus,BLR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3,3900
2015,Belarus,BLR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,7996,253500
2014,Cambodia,KHM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,21,23
2015,Cameroon,CMR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2025,1857
