PMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(31-2015) Industri furnitur,1047.30,1400.00,1705.00,4669.10,25458.00,,14659.30,500.00,3695.70,14192.40,9132.20,17730.50,23692.60,15531.80,8423.00,35943.90,8895.50,16032.70,5970.00,13561.90,540.40,17683.60,37077.80,11408.50,23277.20,16222.70,10194.20,13684.80,27692.50,79576.80,12061.90
(20-2015) Industri bahan kimia dan barang dari bahan kimia,230358.10,129058.80,42713.00,848272.90,714634.90,2357721.10,571325.80,620688.80,867434.50,511365.20,1144079.10,495680.30,200537.70,208737.30,526157.50,1088791.70,162371.60,1541757.10,298424.20,1004703.00,601578.80,766785.60,1433454.60,1433084.00,994288.60,1205667.80,1930076.90,1603903.40,947628.80,774360.20,1214776.60
(32-2015) Industri pengolahan lainnya,10566.80,8864.10,21084.00,1880.00,39314.70,22729.50,6806.60,12295.30,7320.10,85744.00,58907.80,3004337.90,5645.10,6240.20,87698.10,174010.00,107667.20,15448.20,18589.60,98060.70,1374.00,33578.70,33578.00,69971.80,43698.90,31912.90,23996.70,30036.30,79169.30,69371.10,239874.70
(00-2015) Bidang Usaha Lainnya,,,,,,,,,,,,,,,,,,,,,,,,,926.20,22326.20,19546.70,20336.80,28611.10,27724.70,2897.80
"(01-2015) Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI",12992.60,831.50,8926.60,,52383.70,50939.70,52432.80,4315.10,2227240.30,40639.10,11342.40,84402.30,59849.70,221440.00,99498.00,208746.20,340200.80,219656.40,136794.70,49573.90,500497.10,953382.80,1215529.00,956241.10,1595548.10,1425330.70,1124389.50,1125895.10,1151138.40,731548.60,799791.80
(03-2015) Perikanan,1000.00,10463.80,,4305.70,44438.00,,4969.30,1841.20,5407.00,11702.30,3935.00,9511.40,1049.00,959.20,2343.00,4573.00,15769.50,24287.30,2357.00,1000.00,14347.10,2042.80,22878.10,6158.90,10542.80,52108.50,32761.70,45688.00,20476.90,42328.70,43167.50
(02-2015) Kehutanan dan pemanenan kayu dan hasil hutan selain kayu ,2310.70,281.70,,,,,,,,442.50,,,,,,118767.60,,13706.10,,14551.80,37239.20,7658.00,12478.10,26372.00,32427.70,14867.60,76094.30,28002.60,31780.60,22127.80,35585.80
(05-2015) Pertambangan batu bara dan lignit,,,,,10000000.00,0.00,,,,,,,8.00,15950.00,9458.70,266.80,6742.60,32455.30,30250.70,205990.10,863151.40,552307.20,940537.30,951390.00,1367849.30,1352673.70,347600.70,675766.00,257923.00,239069.10,154692.80
(07-2015) Pertambangan bijih logam,,,,,,,,,,,,,245000.00,,3154.10,,,162235.40,1300.00,490.20,969888.60,1863933.70,1295498.60,2370986.20,1732160.10,1409947.50,964935.20,1555379.40,1058438.70,852619.40,882061.40
(06-2015) Pertambangan minyak bumi dan gas alam dan panas bumi,,,,,,,,,,,,,,,,,140.00,,,,616.50,487.10,600.00,55313.40,140270.20,69226.00,95613.20,327874.30,464904.00,143840.10,99124.70
(08-2015) Pertambangan dan penggalian lainnya,,,,,,,,,,1500.00,,8273.20,79.60,4100.00,,16114.10,,80.00,700.00,,65375.50,220983.90,182682.70,191938.00,147438.40,35338.20,107326.70,197816.10,98655.20,91505.00,102302.60
(09-2015) Aktivitas jasa penunjang pertambangan,26957.80,20976.90,21244.40,608.10,12237.00,23220.50,40439.60,23976.40,1286.70,6202.80,7414.70,3076.10,19112.40,6750.00,105570.00,31614.20,6236.00,106323.60,138255.60,117745.10,40443.50,761526.30,732908.90,482288.90,335193.70,230283.00,132689.70,84573.10,257058.40,245544.90,182346.40
(10-2015) Industri makanan,32500.80,1812.20,178323.10,9150.00,118640.10,97697.80,242327.90,31323863.10,144485.50,185726.30,93354.80,133836.80,84204.30,1581167.10,254896.90,464062.40,212884.20,437926.50,407576.90,230014.40,612741.90,632695.40,1039559.10,1231288.40,2229680.90,997388.10,1316891.20,828433.60,718143.80,900942.30,1064905.30
(11-2015) Industri minuman,,41647.00,,,17030.00,10257.00,18427.20,6876.80,205125.70,39495.00,120509.20,4470.60,13993.30,22494.60,,56400.00,18051.30,14810.00,17416.10,26699.50,136558.60,107601.80,40430.60,169197.60,152071.50,142595.70,237143.40,267674.00,83214.90,82818.10,76409.70
(12-2015) Industri pengolahan tembakau,,,1141.80,,,2187.00,,4711.30,,,4050.00,24477.20,,57443.00,,,6693.40,100003.70,8550.00,53998.40,2141.00,105.00,19008.00,10220.80,3252.80,8.40,156.50,2316.30,14817.90,19091.80,5823.70
(13-2015) Industri tekstil,6125.20,72867.60,50307.40,126740.30,238948.20,182741.80,150296.30,75624.80,95822.10,87968.20,112926.90,162818.30,38922.30,406068.50,56201.10,59952.10,328003.30,55326.40,94489.00,181096.30,99111.90,252654.00,264326.70,564428.60,220445.70,151495.30,121000.40,150017.90,138357.90,104245.60,133401.10
(14-2015) Industri pakaian jadi,8996.80,17713.50,2680974.00,16807.50,55907.60,38101.90,23530.50,25410.50,17502.40,23870.20,18496.50,12705.00,22478.70,20313.40,16396.90,5604.40,71402.10,64605.70,66261.10,42557.40,11879.50,115319.30,113763.10,84958.30,126294.20,111495.30,112184.50,58116.30,100989.30,61563.90,88053.40
"(15-2015) Industri kulit, barang dari kulit dan alas kaki",21900.50,52078.60,14988.30,34971.50,61639.90,71182.10,28628.20,112531.70,15818.60,1025628.70,27158.60,28952.00,46106.10,2345.80,12213.30,46768.40,51799.60,33435.90,139401.70,109067.90,47070.20,174549.80,130065.60,43420.20,177037.30,128413.00,120101.70,239420.10,164448.40,148918.60,176259.80
