PMDN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(00-2015) Bidang Usaha Lainnya,,,,,,,,,,,,,,,,,,853.1,0.0,0.0,,,,,600.0,"6,547.5","18,689.3",648.0,"1,261.0",0.0,"182,703.1"
"(01-2015) Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI","45,646.4","117,145.0","51,249.9","42,126.9","177,389.7","96,158.6","525,376.6","784,336.8","535,511.9","1,730,976.2","1,005,077.7","743,713.5","217,257.1","146,679.3","434,411.4","1,995,375.7","1,886,631.9","4,759,087.7","1,084,723.9","1,564,544.4","7,964,914.8","7,540,560.1","6,052,313.5","3,744,747.9","8,382,878.1","9,662,790.8","16,458,202.1","12,046,620.5","21,402,238.5","33,562,478.3","23,843,160.5"
(02-2015) Kehutanan dan pemanenan kayu dan hasil hutan selain kayu ,"19,301.6","42,577.6","126,036.0",,"167,169.8","25,658.0","3,248.7",,,"3,900.0","102,354.0",,,"452,779.0","198,666.3","2,985.1","37,022.4","61,203.7",,,"55,239.3",18.0,"132,517.8",50.0,313.0,"245,917.1","198,498.9","18,641.8","1,483,343.2","9,042,101.2","896,430.5"
(05-2015) Pertambangan batu bara dan lignit,,"32,614.1",,,"876,130.0",,"48,226.0","208,420.0",,0.0,"28,175.4",,,,,"89,500.0",0.0,"1,820,038.8","88,291.8","1,464,041.3","3,036,783.9","783,543.6","1,661,108.1","5,173,891.3","1,696,658.6","2,066,063.7","786,858.7","4,336,715.7","1,938,480.9","7,962,342.2","3,592,866.9"
(03-2015) Perikanan,"11,893.3","4,154.2","1,087.8","1,168.9","5,883.7","235,624.3",,"6,345.3","1,250.0","276,234.0","590,434.0","194,290.0",,"15,574.6",,"3,151.9",216.8,"3,100.0",,"24,720.7","1,000.0",20.0,"14,335.3",230.0,0.0,"271,737.9",32.2,"30,510.9","60,530.8","203,308.4","459,611.9"
(08-2015) Pertambangan dan penggalian lainnya,"1,583.4","21,337.2","7,073.5","37,861.4","4,242.0","16,107.0","96,206.7","9,000.0","52,676.3","18,558.5",,,,,"35,841.8",,"21,000.0",,"70,742.0",,,"2,000.0",0.0,"2,900.0","29,314.4","16,381.1","175,259.1","40,103.2","1,206,669.0","578,085.4","584,858.9"
(07-2015) Pertambangan bijih logam,"22,999.7",,"4,360.0",,,,"477,055.0",,,,,,,,,,,,,0.0,0.0,"18,533.7","182,540.8","56,134.7","535,237.6","557,927.3","638,468.6","6,500,589.0","3,377,846.4","6,854,847.7","2,960,894.6"
(09-2015) Aktivitas jasa penunjang pertambangan,"7,452.8","6,921.8","60,768.3","14,533.4","66,239.8","90,054.8","115,352.1","269,669.9","99,374.4","86,944.3","55,122.3",,,"8,620.7","448,487.3","885,727.6",,"3,482.0","82,270.0","116,024.7",1.0,"1,791,065.1","6,760,705.3","6,061,972.5",0.0,"678,939.1","872,679.3","3,695,303.8","5,608,049.9","3,907,613.8","3,869,513.1"
(10-2015) Industri makanan,"37,913.1","153,129.0","391,983.5","68,786.7","634,178.3","158,498.5","978,403.6","352,653.0","423,917.0","1,081,922.2","1,317,960.0","1,708,140.8","217,658.0","2,932,071.7","1,628,544.2","2,736,634.1","2,364,665.2","4,812,944.4","6,610,272.2","4,459,429.4","6,230,174.8","4,687,339.6","3,767,556.5","7,699,050.5","8,927,962.9","12,764,134.2","19,036,670.6","19,390,895.9","24,662,489.9","23,399,875.5","21,697,047.8"
(11-2015) Industri minuman,"3,887.0","6,693.7","4,104.7","3,193.4","12,929.5","6,638.5","9,084.0","16,705.3","3,209.1","5,400.0","433,212.7","7,435.8",0.0,"1,083.7","164,995.5",,,"240,700.0","86,500.0","126,235.9","28,460.0","389,185.6","232,727.2","166,442.4","207,111.1","3,197,281.3","2,019,816.8","1,876,947.3","1,682,497.9","1,743,718.0","2,050,511.7"
