kabid,year,umk,prov,kabname,provname,rerata,minimum,maximum,PPPC,inflation,PPP,meanP,minP,maxP
3101,2002,591300,31,KEPULAUAN SERIBU,DKI Jakarta,591300,591300,591300,1614.8624,11.900118,366.16122,366.16122,366.16122,366.16122
3101,2003,631600,31,KEPULAUAN SERIBU,DKI Jakarta,631600,631600,631600,1672.4185,6.7573171,377.65668,377.65668,377.65668,377.65668
3101,2004,671600,31,KEPULAUAN SERIBU,DKI Jakarta,671600,671600,671600,1767.8287,6.0640597,379.90106,379.90106,379.90106,379.90106
3101,2005,711843,31,KEPULAUAN SERIBU,DKI Jakarta,711843,711843,711843,1960.1332,10.453198,363.16052,363.16052,363.16052,363.16052
3101,2006,819100,31,KEPULAUAN SERIBU,DKI Jakarta,819100,819100,819100,2170.5793,13.108672,377.36469,377.36469,377.36469,377.36469
3101,2007,900560,31,KEPULAUAN SERIBU,DKI Jakarta,900560,900560,900560,2351.7803,6.4065628,382.92694,382.92694,382.92694,382.92694
3101,2008,972604,31,KEPULAUAN SERIBU,DKI Jakarta,972604,972604,972604,2725.606,10.226665,356.83954,356.83954,356.83954,356.83954
3101,2009,1069865,31,KEPULAUAN SERIBU,DKI Jakarta,1069865,1069865,1069865,2928.8152,4.3864155,365.28934,365.28934,365.28934,365.28934
3101,2010,1118009,31,KEPULAUAN SERIBU,DKI Jakarta,1118009,1118009,1118009,3336.9939,5.1342039,335.03479,335.03479,335.03479,335.03479
3101,2011,1290000,31,KEPULAUAN SERIBU,DKI Jakarta,1290000,1290000,1290000,3512.7539,5.3560476,367.23325,367.23325,367.23325,367.23325
3101,2012,1529150,31,KEPULAUAN SERIBU,DKI Jakarta,1529150,1529150,1529150,3569.8926,4.2795,428.34622,428.34622,428.34622,428.34622
3101,2013,2200000,31,KEPULAUAN SERIBU,DKI Jakarta,2200000,2200000,2200000,3765.6719,6.4130001,584.2251,584.2251,584.2251,584.2251
3101,2014,2441000,31,KEPULAUAN SERIBU,DKI Jakarta,2441000,2441000,2441000,4030.7747,6.395,605.59076,605.59076,605.59076,605.59076
3171,2002,591300,31,KODYA JAKARTA SELATAN,DKI Jakarta,591300,591300,591300,1614.8624,11.900118,366.16122,366.16122,366.16122,366.16122
3171,2003,631600,31,KODYA JAKARTA SELATAN,DKI Jakarta,631600,631600,631600,1672.4185,6.7573171,377.65668,377.65668,377.65668,377.65668
3171,2004,671600,31,KODYA JAKARTA SELATAN,DKI Jakarta,671600,671600,671600,1767.8287,6.0640597,379.90106,379.90106,379.90106,379.90106
3171,2005,711843,31,KODYA JAKARTA SELATAN,DKI Jakarta,711843,711843,711843,1960.1332,10.453198,363.16052,363.16052,363.16052,363.16052
3171,2006,819100,31,KODYA JAKARTA SELATAN,DKI Jakarta,819100,819100,819100,2170.5793,13.108672,377.36469,377.36469,377.36469,377.36469
3171,2007,900560,31,KODYA JAKARTA SELATAN,DKI Jakarta,900560,900560,900560,2351.7803,6.4065628,382.92694,382.92694,382.92694,382.92694
3171,2008,972604,31,KODYA JAKARTA SELATAN,DKI Jakarta,972604,972604,972604,2725.606,10.226665,356.83954,356.83954,356.83954,356.83954
3171,2009,1069865,31,KODYA JAKARTA SELATAN,DKI Jakarta,1069865,1069865,1069865,2928.8152,4.3864155,365.28934,365.28934,365.28934,365.28934
3171,2010,1118009,31,KODYA JAKARTA SELATAN,DKI Jakarta,1118009,1118009,1118009,3336.9939,5.1342039,335.03479,335.03479,335.03479,335.03479
3171,2011,1290000,31,KODYA JAKARTA SELATAN,DKI Jakarta,1290000,1290000,1290000,3512.7539,5.3560476,367.23325,367.23325,367.23325,367.23325
3171,2012,1529150,31,KODYA JAKARTA SELATAN,DKI Jakarta,1529150,1529150,1529150,3569.8926,4.2795,428.34622,428.34622,428.34622,428.34622
3171,2013,2200000,31,KODYA JAKARTA SELATAN,DKI Jakarta,2200000,2200000,2200000,3765.6719,6.4130001,584.2251,584.2251,584.2251,584.2251
3171,2014,2441000,31,KODYA JAKARTA SELATAN,DKI Jakarta,2441000,2441000,2441000,4030.7747,6.395,605.59076,605.59076,605.59076,605.59076
3172,2002,591300,31,KODYA JAKARTA TIMUR,DKI Jakarta,591300,591300,591300,1614.8624,11.900118,366.16122,366.16122,366.16122,366.16122
3172,2003,631600,31,KODYA JAKARTA TIMUR,DKI Jakarta,631600,631600,631600,1672.4185,6.7573171,377.65668,377.65668,377.65668,377.65668
3172,2004,671600,31,KODYA JAKARTA TIMUR,DKI Jakarta,671600,671600,671600,1767.8287,6.0640597,379.90106,379.90106,379.90106,379.90106
3172,2005,711843,31,KODYA JAKARTA TIMUR,DKI Jakarta,711843,711843,711843,1960.1332,10.453198,363.16052,363.16052,363.16052,363.16052
3172,2006,819100,31,KODYA JAKARTA TIMUR,DKI Jakarta,819100,819100,819100,2170.5793,13.108672,377.36469,377.36469,377.36469,377.36469
3172,2007,900560,31,KODYA JAKARTA TIMUR,DKI Jakarta,900560,900560,900560,2351.7803,6.4065628,382.92694,382.92694,382.92694,382.92694
3172,2008,972604,31,KODYA JAKARTA TIMUR,DKI Jakarta,972604,972604,972604,2725.606,10.226665,356.83954,356.83954,356.83954,356.83954
3172,2009,1069865,31,KODYA JAKARTA TIMUR,DKI Jakarta,1069865,1069865,1069865,2928.8152,4.3864155,365.28934,365.28934,365.28934,365.28934
3172,2010,1118009,31,KODYA JAKARTA TIMUR,DKI Jakarta,1118009,1118009,1118009,3336.9939,5.1342039,335.03479,335.03479,335.03479,335.03479
3172,2011,1290000,31,KODYA JAKARTA TIMUR,DKI Jakarta,1290000,1290000,1290000,3512.7539,5.3560476,367.23325,367.23325,367.23325,367.23325
3172,2012,1529150,31,KODYA JAKARTA TIMUR,DKI Jakarta,1529150,1529150,1529150,3569.8926,4.2795,428.34622,428.34622,428.34622,428.34622
3172,2013,2200000,31,KODYA JAKARTA TIMUR,DKI Jakarta,2200000,2200000,2200000,3765.6719,6.4130001,584.2251,584.2251,584.2251,584.2251
3172,2014,2441000,31,KODYA JAKARTA TIMUR,DKI Jakarta,2441000,2441000,2441000,4030.7747,6.395,605.59076,605.59076,605.59076,605.59076
3173,2002,591300,31,KODYA JAKARTA PUSAT,DKI Jakarta,591300,591300,591300,1614.8624,11.900118,366.16122,366.16122,366.16122,366.16122
3173,2003,631600,31,KODYA JAKARTA PUSAT,DKI Jakarta,631600,631600,631600,1672.4185,6.7573171,377.65668,377.65668,377.65668,377.65668
3173,2004,671600,31,KODYA JAKARTA PUSAT,DKI Jakarta,671600,671600,671600,1767.8287,6.0640597,379.90106,379.90106,379.90106,379.90106
3173,2005,711843,31,KODYA JAKARTA PUSAT,DKI Jakarta,711843,711843,711843,1960.1332,10.453198,363.16052,363.16052,363.16052,363.16052
3173,2006,819100,31,KODYA JAKARTA PUSAT,DKI Jakarta,819100,819100,819100,2170.5793,13.108672,377.36469,377.36469,377.36469,377.36469
3173,2007,900560,31,KODYA JAKARTA PUSAT,DKI Jakarta,900560,900560,900560,2351.7803,6.4065628,382.92694,382.92694,382.92694,382.92694
3173,2008,972604,31,KODYA JAKARTA PUSAT,DKI Jakarta,972604,972604,972604,2725.606,10.226665,356.83954,356.83954,356.83954,356.83954
3173,2009,1069865,31,KODYA JAKARTA PUSAT,DKI Jakarta,1069865,1069865,1069865,2928.8152,4.3864155,365.28934,365.28934,365.28934,365.28934
3173,2010,1118009,31,KODYA JAKARTA PUSAT,DKI Jakarta,1118009,1118009,1118009,3336.9939,5.1342039,335.03479,335.03479,335.03479,335.03479
3173,2011,1290000,31,KODYA JAKARTA PUSAT,DKI Jakarta,1290000,1290000,1290000,3512.7539,5.3560476,367.23325,367.23325,367.23325,367.23325
3173,2012,1529150,31,KODYA JAKARTA PUSAT,DKI Jakarta,1529150,1529150,1529150,3569.8926,4.2795,428.34622,428.34622,428.34622,428.34622
3173,2013,2200000,31,KODYA JAKARTA PUSAT,DKI Jakarta,2200000,2200000,2200000,3765.6719,6.4130001,584.2251,584.2251,584.2251,584.2251
3173,2014,2441000,31,KODYA JAKARTA PUSAT,DKI Jakarta,2441000,2441000,2441000,4030.7747,6.395,605.59076,605.59076,605.59076,605.59076
3174,2002,591300,31,KODYA JAKARTA BARAT,DKI Jakarta,591300,591300,591300,1614.8624,11.900118,366.16122,366.16122,366.16122,366.16122
3174,2003,631600,31,KODYA JAKARTA BARAT,DKI Jakarta,631600,631600,631600,1672.4185,6.7573171,377.65668,377.65668,377.65668,377.65668
3174,2004,671600,31,KODYA JAKARTA BARAT,DKI Jakarta,671600,671600,671600,1767.8287,6.0640597,379.90106,379.90106,379.90106,379.90106
3174,2005,711843,31,KODYA JAKARTA BARAT,DKI Jakarta,711843,711843,711843,1960.1332,10.453198,363.16052,363.16052,363.16052,363.16052
3174,2006,819100,31,KODYA JAKARTA BARAT,DKI Jakarta,819100,819100,819100,2170.5793,13.108672,377.36469,377.36469,377.36469,377.36469
3174,2007,900560,31,KODYA JAKARTA BARAT,DKI Jakarta,900560,900560,900560,2351.7803,6.4065628,382.92694,382.92694,382.92694,382.92694
3174,2008,972604,31,KODYA JAKARTA BARAT,DKI Jakarta,972604,972604,972604,2725.606,10.226665,356.83954,356.83954,356.83954,356.83954
3174,2009,1069865,31,KODYA JAKARTA BARAT,DKI Jakarta,1069865,1069865,1069865,2928.8152,4.3864155,365.28934,365.28934,365.28934,365.28934
