time,xr,dxr,lxr,dlxr
1/01/2015,12625,,4.101231387,
1/02/2015,12863,238,4.10934227,0.811088285
1/03/2015,13084,221,4.116740535,0.739826581
1/04/2015,12937,-147,4.111833578,-0.49069573
1/05/2015,13211,274,4.120935693,0.910211441
1/06/2015,13332,121,4.124895305,0.395961243
1/07/2015,13481,149,4.129722109,0.482680371
1/08/2015,14027,546,4.146964797,1.724268829
1/09/2015,14657,630,4.166045088,1.908029086
1/10/2015,13639,-1018,4.134782529,-3.126255847
1/11/2015,13840,201,4.14113609,0.635356074
1/12/2015,13795,-45,4.139721705,-0.141438531
1/01/2016,13846,51,4.141324327,0.160262246
1/02/2016,13395,-451,4.126942718,-1.438160933
1/03/2016,13276,-119,4.123067244,-0.387547421
1/04/2016,13204,-72,4.120705516,-0.236172808
1/05/2016,13615,411,4.134017646,1.331213002
1/06/2016,13180,-435,4.11991541,-1.410223542
1/07/2016,13094,-86,4.117072337,-0.284307367
1/08/2016,13300,206,4.123851641,0.677930438
1/09/2016,12998,-302,4.113876533,-0.997510834
1/10/2016,13051,53,4.11564379,0.176725704
1/11/2016,13563,512,4.132355762,1.671197208
1/12/2016,13436,-127,4.128269995,-0.408576658
1/01/2017,13343,-93,4.125253486,-0.301650914
1/02/2017,13347,4,4.12538366,0.013017444
1/03/2017,13321,-26,4.124536828,-0.084683217
1/04/2017,13327,6,4.124732398,0.019556942
1/05/2017,13321,-6,4.124536828,-0.019556942
1/06/2017,13319,-2,4.124471619,-0.006520938
1/07/2017,13323,4,4.124602028,0.013040897
1/08/2017,13351,28,4.125513796,0.091176801
1/09/2017,13492,141,4.130076333,0.456253661
1/10/2017,13572,80,4.132643851,0.256751846
1/11/2017,13514,-58,4.130783915,-0.185993638
1/12/2017,13548,34,4.131875188,0.109127338
1/01/2018,13413,-135,4.127525925,-0.434926338
1/02/2018,13707,294,4.136942413,0.941648819
1/03/2018,13756,49,4.138492167,0.154975437
1/04/2018,13877,121,4.142295588,0.380342114
1/05/2018,13951,74,4.144605339,0.230975042
1/06/2018,14404,453,4.158483113,1.387777398
1/07/2018,14413,9,4.158754387,0.027127393
1/08/2018,14711,298,4.167642195,0.888780885
1/09/2018,14929,218,4.174030718,0.638852256
1/10/2018,15227,298,4.182614348,0.85836297
1/11/2018,14339,-888,4.156518865,-2.609548299
1/12/2018,14481,142,4.160798554,0.427968879
1/01/2019,14072,-409,4.148355826,-1.244272709
1/02/2019,14062,-10,4.148047094,-0.030873285
1/03/2019,14244,182,4.153631965,0.55848714
1/04/2019,14215,-29,4.152746864,-0.088510098
1/05/2019,14385,170,4.157909866,0.51630022
1/06/2019,14141,-244,4.150480122,-0.742974396
1/07/2019,14026,-115,4.146933835,-0.354628771
1/08/2019,14237,211,4.153418485,0.648465047
1/09/2019,14174,-63,4.151492428,-0.192605661
1/10/2019,14008,-166,4.146376133,-0.511629535
1/11/2019,14102,94,4.14928071,0.290457727
1/12/2019,13901.005,-200.995,4.1430462,-0.623451079
1/01/2020,13662,-239.005,4.135514281,-0.753191855
1/02/2020,14234,572,4.153326961,1.781268049
1/03/2020,16367.005,2133.005,4.213969215,6.06422536
1/04/2020,15157.005,-1210,4.180613394,-3.335582121
1/05/2020,14733.005,-424,4.168291336,-1.232205764
1/06/2020,14302,-431.005,4.155396774,-1.289456253
1/07/2020,14653.005,351.005,4.165926698,1.05299241
1/08/2020,14554,-99.005,4.162982371,-0.294432722
1/09/2020,14918,364,4.173710603,1.072823223
1/10/2020,14690,-228,4.167021796,-0.668880703
1/11/2020,14128,-562,4.150080686,-1.694110956
1/12/2020,14105.005,-22.995,4.149373244,-0.070744179
1/01/2021,14084,-21.005,4.148726016,-0.064722804
1/02/2021,14229.005,145.005,4.153174532,0.444851558
1/03/2021,14572,342.995,4.163519163,1.034463059
1/04/2021,14468,-104,4.1604085,-0.311066248
1/05/2021,14310,-158,4.155639634,-0.476886633
1/06/2021,14496,186,4.16124818,0.560854657
1/07/2021,14491.005,-4.995,4.161098506,-0.014967403
1/08/2021,14374,-117.005,4.157577641,-0.352086578
1/09/2021,14307.005,-66.995,4.155548729,-0.202891159
1/10/2021,14199.005,-108,4.152257912,-0.329081681
1/11/2021,14340,140.995,4.156549151,0.429123921
1/12/2021,14269.005,-70.995,4.15439369,-0.215546119
1/01/2022,14381.005,112,4.157789237,0.339554714
1/02/2022,14371.005,-10,4.15748714,-0.030209679
1/03/2022,14349.005,-22,4.156821787,-0.066535356
1/04/2022,14418,68.995,4.158905021,0.208323426
1/05/2022,14544,126,4.162683866,0.377884469
1/06/2022,14848,304,4.171667959,0.8984093
1/07/2022,14958,110,4.174873529,0.320557001
1/08/2022,14875.005,-82.995,4.17245712,-0.241640851
1/09/2022,15247,371.995,4.1831844,1.072727992
